,FullDesign,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
0,101000001010000001000101001010001101,7172,0.0,-0.5882352941176472,1.0,0.6000000000000001
3,101000001010000001000101001010001111,9134,0.05000000000000002,-0.6722689075630253,0.4000000000000001,0.6000000000000001
8,111000001010000001000101001010001101,1695,0.049999999999999975,-0.6722689075630252,0.4000000000000001,0.6000000000000001
10,000000001000001000010001100010001001,0,0.1998,-1.3759698545123755e-05,0.8,0.6000000000000001
16,000000000000100000000000101000000000,0,0.1998,-3.22115739297789e-05,0.8,1.1102230246251563e-16
26,000000000000000000000000100000010000,0,0.1998,-5.295978330335919e-05,1.0,1.1102230246251563e-16
33,001000001000010001000000100100000001,0,0.4828427124746196,-0.11039567218359317,0.6000000000000001,0.5000000000000001
34,001100100000000011000000000000000000,0,0.1998,-2.120362254455787e-05,1.0,0.30000000000000016
67,000000000110000000000000000000000000,0,0.1998,-6.204624559753524e-05,1.0,1.1102230246251563e-16
76,000000000010000000000100100000010000,0,0.1998,-3.102312279876762e-05,1.0,1.1102230246251563e-16
100,000100000000000000000000010000000000,0,0.1998,-4.103598201390181e-05,1.0,0.10000000000000007
103,000000011000000100000000000000010001,0,0.1998,-1.766694593965404e-05,0.6000000000000001,0.5000000000000001
106,000100000000010010001000000100000000,0,0.1998,-1.8172924588352103e-05,0.4000000000000001,0.6000000000000001
112,000000000011000000000001000010101000,0,0.1998,-1.958004902632517e-05,0.8,0.5000000000000001
120,000101001000000000000100000010000001,0,0.1998,-2.0203476249469768e-05,0.8,0.4000000000000001
122,101000000010000101000000010000000100,0,0.1998,-1.5814055913844635e-05,0.8,0.7000000000000001
127,000000000000000000100100101000000000,0,0.1998,-2.399511602917909e-05,0.4000000000000001,0.5000000000000001
130,000001000000000000000100000000100010,0,0.1998,-2.0700867941218268e-05,0.8,0.4000000000000001
131,000000000000000000010000000000000000,0,0.1998,-6.698941585102842e-05,1.0,1.1102230246251563e-16
132,001000000000000001110000110000000000,0,0.1998,-1.3980028946854435e-05,0.4000000000000001,0.6000000000000001
135,000100000000000010010000100000100000,0,0.1998,-1.7188379434987064e-05,0.6000000000000001,0.5000000000000001
146,011000001001000001000000000101010001,0,0.11344464995648974,-0.20185044147507064,0.4000000000000001,0.9
